xmax,ymax,capacity,net_num,max_pin_num,net_size,data_path,lr,iter,num_experiment,pattern_level,z_step,max_z,use_pow,device,data_name,num_candidates,pool_generation_time,train_time,ilp_time,ilp_obj,best_cost,"overflow_cost, via_cost, wire_length_cost",worst_cost,lp_obj,best_continue_cost,p_generation_time,cost_inference_time,back_time,peak_gpu_memory (MB),peak_cpu_memory (MB)
65,67,1,2602,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,200,1,2,2,10,False,cuda:0,ispd18_test1,6101,0.8706796560436487,3.4340595435351133,3.6141765974462032,0.0,0.0,0.0,396.8150634765625,1796.4000244140625,0,0.0,2193.215087890625,0.16437308304011822,0.8391645830124617,1.0288521405309439,2.83935546875,60.88092803955078
98,97,1,2699,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd19_test1.pt,0.2,200,1,2,2,10,False,cuda:0,ispd19_test1,9001,1.2193377688527107,3.508429456502199,4.899023188278079,0.0,0.0,0.0,508.0231628417969,2869.400146484375,0,0.0,3377.42333984375,0.16273745521903038,0.8377749249339104,1.035473309457302,5.27392578125,83.90745162963867
216,201,1,32729,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test2.pt,0.2,10,1,2,2,10,False,cuda:0,ispd18_test2,104001,15.20435881614685,2.5077811032533646,0,10000000000.0,0.0,0.0,5873.17431640625,60101.40234375,0,10000000000.0,65974.578125,0.007541012018918991,0.2815214265137911,0.08340055122971535,163.0263671875,150.7038688659668
581,392,1,67554,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd19_test2.pt,0.2,10,1,2,2,10,False,cuda:0,ispd19_test2,309592,43.31188339740038,4.689699146896601,0,10000000000.0,2.0,0.0,820.9076538085938,8774.8701171875,2.0,10000000000.0,9595.77734375,0.007015937939286232,0.35765128396451473,0.1530526615679264,490.8203125,439.07662868499756
329,247,1,32478,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test3.pt,0.2,10,1,2,2,10,False,cuda:0,ispd18_test3,104113,15.078287545591593,2.7701899260282516,0,10000000000.0,0.0,0.0,288.571044921875,3573.58984375,0,10000000000.0,3862.160888671875,0.008723761886358261,0.2893407940864563,0.08479928225278854,195.79638671875,172.33073616027832
65,67,1,2602,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,10,1,2,2,10,False,cuda:0,ispd18_test1,6101,1.022014133632183,5.343894436955452,6.607122752815485,0.0,0.0,0.0,21.10576057434082,89.81999969482422,0,0.0,110.9257583618164,0.04715721495449543,2.3287304770201445,0.16130941361188889,2.86328125,61.41370868682861
216,201,1,32729,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test2.pt,0.2,10,1,2,2,10,False,cuda:0,ispd18_test2,204978,6.084814162924886,4.754072684794664,0,10000000000.0,0.0,0.0,336.45526123046875,5192.7998046875,0,10000000000.0,0.0,0.01384975016117096,0.29662142135202885,0.06924075447022915,569.283203125,405.3309373855591
65,67,1,2602,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,10,1,2,2,10,False,cuda:0,ispd18_test1,16335,0.37476205080747604,2.0208779238164425,0,10000000000.0,0.0,0.0,23.952457427978516,280.5099792480469,0,10000000000.0,0.0,0.009301559999585152,0.29266667552292347,0.03043612465262413,35.11865234375,36.177422523498535
65,67,1,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,10,1,2,2,10,False,cuda:0,ispd18_test1,16335,0.5005590971559286,4.592090222984552,0,10000000000.0,0.0,0.0,23.70256233215332,280.5099792480469,0,10000000000.0,0.0,0.05219443887472153,2.5218028370290995,0.10253582522273064,35.11865234375,38.658020973205566
65,67,1,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,2,2,10,False,cuda:0,ispd18_test1,16335,0.49990651197731495,5.474491119384766,0,10000000000.0,0.0,0.0,23.836299896240234,280.5099792480469,0,10000000000.0,0.0,0.14656220190227032,2.6229831017553806,0.46820923686027527,35.11865234375,38.69880199432373
65,67,1,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,2,2,10,False,cuda:0,ispd18_test1,16335,0.49390094727277756,2.8658676259219646,0,10000000000.0,0.0,0.0,19.90999984741211,280.5099792480469,0,10000000000.0,19.909997940063477,0.08680157363414764,0.44063140638172626,0.3937895279377699,35.11865234375,38.79252243041992
65,67,1,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,2,2,10,False,cuda:0,ispd18_test1,16335,0.4827014561742544,2.878227476030588,0,10000000000.0,0.0,0.0,19.869998931884766,280.5099792480469,0,10000000000.0,19.869998931884766,0.09359018504619598,0.4503206219524145,0.3950348626822233,35.11865234375,38.794631004333496
65,67,1,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,2,2,10,False,cuda:0,ispd18_test1,16335,0.49390400759875774,2.8416787981987,0,10000000000.0,0.0,0.0,1.9870001077651978,2805.10009765625,0,10000000000.0,1.9870001077651978,0.08819158002734184,0.44024779833853245,0.40098586678504944,35.11865234375,38.80191993713379
216,201,1,36834,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test2.pt,0.2,100,1,2,2,10,False,cuda:0,ispd18_test2,204978,6.2895250506699085,5.859780378639698,0,10000000000.0,0.0,0.0,26.95836067199707,51928.0,0,10000000000.0,26.95836067199707,0.10667078197002411,0.7056656815111637,0.7237758133560419,569.283203125,436.6010112762451
619,613,1,72394,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test5.pt,0.2,100,1,2,2,10,False,cuda:0,ispd18_test5,548081,18.638169603422284,14.089566683396697,0,10000000000.0,0.0,0.0,76.30960083007812,178908.0,0,10000000000.0,76.30960083007812,0.10235850512981415,1.5659950226545334,2.0070581194013357,1743.04638671875,1267.2703094482422
65,67,0.8,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,3,2,10,2,10,1,False,cuda:0,ispd18_test1,24154,1.0970402508974075,6.320586809888482,0,10000000000.0,0.0,0.0,2.042510747909546,2842.028076171875,0,10000000000.0,2.042510747909546,0.12178348563611507,2.4269261714071035,0.46313097700476646,64.140625,46.15973472595215
65,67,0.5,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,3,2,10,2,10,1,False,cuda:0,ispd18_test1,24154,0.8891240302473307,2.968669582158327,0,10000000000.0,0.0,0.0,2.069000005722046,2844.098388671875,0,10000000000.0,2.069000005722046,0.07864922098815441,0.43753001280128956,0.3471200615167618,64.140625,46.128851890563965
65,67,0.5,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,3,2,10,2,10,1,False,cuda:0,ispd18_test1,24154,0.8403727374970913,2.9536901842802763,0,10000000000.0,0.0,0.0,2.063000202178955,2851.781005859375,0,10000000000.0,2.063000202178955,0.09047731198370457,0.44384948164224625,0.3932014685124159,64.140625,46.23632621765137
65,67,0.1,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,3,2,10,2,10,1,False,cuda:0,ispd18_test1,24154,0.8854645490646362,2.953313898295164,0,10000000000.0,4288.5,4276.7734375,2.5747249126434326,2912.078125,4288.5,10000000000.0,4278.36572265625,0.08282716386020184,0.4441302977502346,0.35026736930012703,64.140625,46.28059196472168
65,67,0.1,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,3,2,10,2,10,1,True,cuda:0,ispd18_test1,24154,0.8719079084694386,2.9949341267347336,0,10000000000.0,1836.333251953125,1832.1533203125,2.6067280769348145,2914.641845703125,1836.333251953125,10000000000.0,1834.760009765625,0.08761820010840893,0.45367318019270897,0.41234128922224045,64.140625,46.11799335479736
65,67,0.1,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,3,2,10,2,10,1,True,cuda:0,ispd18_test1,24154,0.8400406502187252,2.936694385483861,0,10000000000.0,1841.350341796875,1837.12109375,2.607003927230835,2918.466552734375,1841.350341796875,10000000000.0,1839.7281494140625,0.08947916515171528,0.460375539958477,0.4132953230291605,64.140625,46.093119621276855
65,67,0.2,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,3,2,10,2,10,1,False,cuda:0,ispd18_test1,24154,0.823141485452652,2.923955075442791,0,10000000000.0,105.39997863769531,101.97588348388672,2.5813984870910645,3008.623779296875,105.39997863769531,10000000000.0,104.0556869506836,0.09338977187871933,0.4511605128645897,0.40223571471869946,64.140625,46.28785419464111
216,201,0.2,36834,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test2.pt,0.2,100,1,3,2,10,2,10,1,False,cuda:0,ispd18_test2,318698,12.478809589520097,6.888568611815572,0,10000000000.0,12381.19921875,11967.255859375,37.832881927490234,56047.98828125,12381.19921875,10000000000.0,11999.9501953125,0.08691070973873138,1.0563367120921612,1.143445959314704,1056.84521484375,570.7139415740967
619,613,0.2,72394,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test5.pt,0.2,100,1,3,2,10,2,10,1,False,cuda:0,ispd18_test5,903521,36.325444996356964,18.379597686231136,0,10000000000.0,107884.3984375,101389.9296875,108.4830093383789,192086.796875,107884.3984375,10000000000.0,101299.0234375,0.06388630345463753,3.0709034502506256,4.2611681036651134,3392.19775390625,1740.9455966949463
65,67,0.2,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,3,2,10,2,10,1,False,cuda:0,ispd18_test1,24154,1.528997490182519,6.374550741165876,0,10000000000.0,151.7999725341797,200.87948608398438,2.6464362144470215,3043.29541015625,151.7999725341797,10000000000.0,203.09713745117188,0.22125389240682125,2.6239004265516996,0.7199856527149677,64.140625,46.407487869262695
65,67,0.2,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,3,2,10,2,10,1,False,cuda:0,ispd18_test1,24154,1.0852505136281252,4.427104234695435,0,10000000000.0,146.7999725341797,191.76605224609375,2.6224615573883057,3017.75830078125,146.7999725341797,10000000000.0,193.81141662597656,0.10145478695631027,0.5409313105046749,0.5699217990040779,64.140625,58.604936599731445
65,67,0.5,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,3,2,10,2,10,1,False,cuda:0,ispd18_test1,24154,0.8466281965374947,3.172369174659252,0,10000000000.0,0.0,0.0,2.076239585876465,2860.384521484375,0,10000000000.0,2.076239585876465,0.09376733377575874,0.5437356624752283,0.5233999751508236,64.140625,58.63703155517578
216,201,0.6,36834,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test2.pt,0.2,100,1,3,2,10,2,10,1,False,cuda:0,ispd18_test2,318698,11.691607121378183,7.184383058920503,0,10000000000.0,0.7999973297119141,28042.1796875,28.74066162109375,54070.8125,0.7999973297119141,10000000000.0,29.702747344970703,0.10291687771677971,1.2993046883493662,1.4122761487960815,1056.84521484375,696.0034275054932
65,67,1.0,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,3,2,10,2,10,1,False,cuda:0,ispd18_test1,24154,0.8594780508428812,3.1282415837049484,0,10000000000.0,0.0,0.0,2.058000087738037,2853.529296875,0,10000000000.0,2.058000087738037,0.08424606919288635,0.5323651991784573,0.48284754902124405,64.140625,58.717002868652344
